Episode,Standard_TD,RandomWall_TD,Standard_MC,RandomWall_MC
41000,-58.53000650951762,-154.16193881626714,-62.192272818332974,-106.7019653005959
41500,-59.22348757702346,-137.65514777143028,-69.47385658909393,-108.76876613002987
42000,-58.56317201118585,-143.53890959155723,-70.22572745419274,-149.74186250773897
42500,-58.906453186619416,-138.78925315591206,-37.24460762886061,-112.38315311386411
43000,-58.17078651468629,-135.9978619615099,-35.884859852296664,-227.33389804422143
43500,-59.078434634198565,-155.2627902044484,-54.756605809325265,-402.33897924661994
44000,-58.988407381038996,-135.3209761247856,-67.12660291067654,-209.26004067864713
44500,-58.66930993921782,-138.0047536243086,-53.146823990853086,-137.53566745039893
45000,-59.93290997054901,-143.7118434902783,-78.1578319100303,-270.5715805019015
45500,-61.48552133765987,-140.36649561863587,-75.91622062196997,-306.1008035624465
46000,-60.728298209798986,-138.35418778836993,-55.05258559034698,-177.36412362261277
46500,-59.66701786090507,-137.20943346680548,-42.744126144681886,-215.18439096132266
47000,-59.94722479500741,-132.32133937476948,-54.09271691577781,-56.58323425256449
47500,-60.37303524492551,-142.40579069158298,-62.9091958283157,-83.7837172065486
48000,-59.26515858179443,-131.21118849638285,-49.52679045991112,-239.1325258732452
48500,-59.082908017823065,-130.33638213508982,-60.766682080213805,-92.07044420405863
49000,-58.3795394635342,-133.16691852004757,-54.64917930522395,-108.69901603436038
49500,-57.17173728212911,-133.36099463590244,-58.73084126873516,-205.05093249964315
50000,-57.06027389125047,-139.2186459656422,-49.45416124635315,-165.8798000088507
